2018.09.16.14.36.48, PEER_DISCOVERED, 9674209816, 192.168.43.197
2018.09.16.14.36.52, SUMMARY_VECTOR_RECEIVED, 19068
2018.09.16.14.36.57, CHECKING OLD LOG FILES IF ANY
2018.09.16.14.36.57, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.09.16.14.36.57, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.09.16.14.36.57, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.09.16.14.36.57, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.09.16.14.36.57, DEBUG Controller MISSING FILE START DOWNLOAD pub_9674209816.bgp -1.0
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, a5d543e3551eb42d7f5d259e63cdd8b1, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_12.diff, 1273, 1273.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, 8b515bbb463e23be4176754fd780e3cf, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_3.diff, 0, 365.0, 192.168.43.197
2018.09.16.14.37.07, START_FILE_DOWNLOAD, a0346edba3dd383c9a21d523d1e269, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_7.diff, 0, 668.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 27d9a0149aa1c1329ccdbc285599ea9, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_9.diff, 963, 963.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 2a1d9e4482a6f9b6b5f8943081da30ab, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_59179d36ec92f440.jpeg, 245260, 245260.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, ecddec3cbd2efbdb98ea7f7cb5252c0, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_6ae11d3ee975a5f8.png, 97534, 97534.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, a0346edba3dd383c9a21d523d1e269, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_7.diff, 668, 668.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, 8b515bbb463e23be4176754fd780e3cf, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_3.diff, 365, 365.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, d45676baf77d5c7239414ca12bef071, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_ea0e0946c3f75efa.png, 123212, 123212.0, 192.168.43.197
2018.09.16.14.37.07, STOP_FILE_DOWNLOAD, de259c67ebd5e59aeb13e368377bf7, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_ab8327adb199d071.jpeg, 284301, 284301.0, 192.168.43.197
2018.09.16.14.37.10, STOP_FILE_DOWNLOAD, b391c830c0dcd2d9fb521ae0c296f648, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_d8a95246c3e81a72.mp4, 8554399, 150875.0, 192.168.43.197
2018.09.16.14.37.22, SUMMARY_VECTOR_RECEIVED, 19952
2018.09.16.14.37.27, CHECKING OLD LOG FILES IF ANY
2018.09.16.14.37.27, DEBUG Controller MISSING FILE START DOWNLOAD e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_25.diff -1.0
2018.09.16.14.37.27, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9674209816_20180916143655.txt 9.999999999999998E13
2018.09.16.14.37.27, START_FILE_DOWNLOAD, b27dc43167855edc5d89fd21adbc95ac, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_25.diff, 0, 2877.0, 9674209816
2018.09.16.14.37.27, STOP_FILE_DOWNLOAD, b27dc43167855edc5d89fd21adbc95ac, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_25.diff, 2877, 2877.0, 9674209816
2018.09.16.14.37.27, START_FILE_DOWNLOAD, 23e673f9921c43c0d67590afe45b6d85, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_7abd60781c744738.png, 0, 98497.0, 192.168.43.197
2018.09.16.14.37.27, START_FILE_DOWNLOAD, 2416a93b78d346cec9edb5633d71772, MapDisarm_Log_9674209816_20180916143655.txt, 0, 1251.0, 9674209816
2018.09.16.14.37.27, STOP_FILE_DOWNLOAD, 2416a93b78d346cec9edb5633d71772, MapDisarm_Log_9674209816_20180916143655.txt, 1251, 1251.0, 9674209816
2018.09.16.14.37.27, STOP_FILE_DOWNLOAD, 23e673f9921c43c0d67590afe45b6d85, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_7abd60781c744738.png, 151396, 98497.0, 192.168.43.197
2018.09.16.14.37.32, KEEPING LOGMapDisarm_Log_9674209816_20180916143655.txt
2018.09.16.14.37.42, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.37.47, DEBUG Controller MISSING FILE START DOWNLOAD e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_26.diff -1.0
2018.09.16.14.37.47, START_FILE_DOWNLOAD, 7fd252636acdcf83394eca34f547, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_26.diff, 0, 2940.0, 9674209816
2018.09.16.14.37.47, STOP_FILE_DOWNLOAD, 7fd252636acdcf83394eca34f547, e4a6f10ed26f6165215149d39836849b_v9674209816_volunteer_50_26.diff, 2940, 2940.0, 9674209816
2018.09.16.14.38.02, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.38.22, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.38.42, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.39.02, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.39.22, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.39.42, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.40.02, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.40.22, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.40.42, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.41.02, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.41.22, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.41.42, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.42.03, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.42.22, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.42.42, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.43.03, SUMMARY_VECTOR_RECEIVED, 20367
2018.09.16.14.43.23, SUMMARY_VECTOR_RECEIVED, 20367
