2018.08.26.15.19.52, PEER_DISCOVERED, 9000000004, 192.168.43.197
2018.08.26.15.19.55, SUMMARY_VECTOR_RECEIVED, 50528
2018.08.26.15.19.58, PEER_DISCOVERED, 9000000001, 192.168.43.147
2018.08.26.15.20.00, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.00, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pskc_schema.xsd -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_9000000001.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_9000000004.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pri_volunteer.bgp -1.0
2018.08.26.15.20.51, START_FILE_DOWNLOAD, 1ed054c077c3de298ab6c256dd2f5c90, MapDisarm_Log_9000000001_20180826152036.txt, 0, 1996.0, 9000000001
2018.08.26.15.20.51, STOP_FILE_DOWNLOAD, 52a362968e0118919285fa38bf9aae, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_10.diff, 1510, 1510.0, 9000000001
2018.08.26.15.20.51, STOP_FILE_DOWNLOAD, 1ed054c077c3de298ab6c256dd2f5c90, MapDisarm_Log_9000000001_20180826152036.txt, 1996, 1996.0, 9000000001
2018.08.26.15.20.51, START_FILE_DOWNLOAD, a14287e4ff074944b9f7646c1a922, MapDisarm_Log_9000000004_20180826152042.txt, 0, 5668.0, 9000000004
2018.08.26.15.20.51, STOP_FILE_DOWNLOAD, a14287e4ff074944b9f7646c1a922, MapDisarm_Log_9000000004_20180826152042.txt, 5668, 5668.0, 9000000004
2018.08.26.15.20.56, KEEPING LOGMapDisarm_Log_9000000001_20180826152036.txt
2018.08.26.15.20.56, REMOVING LOGMapDisarm_Log_9000000001_20180826152016.txt
2018.08.26.15.20.56, KEEPING LOGMapDisarm_Log_9000000004_20180826152042.txt
2018.08.26.15.20.56, REMOVING LOGMapDisarm_Log_9000000004_20180826152022.txt
2018.08.26.15.20.56, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.56, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.01, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.01, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.06, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.06, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.06, SUMMARY_VECTOR_RECEIVED, 53555
2018.08.26.15.21.09, PEER_LOST, 9000000001, 192.168.43.147
2018.08.26.15.21.11, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.11, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.11, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000004_20180826152102.txt 9.999999999999998E13
2018.08.26.15.21.11, START_FILE_DOWNLOAD, c14237ceebf8bb8cf7a5b3e3b59b4967, MapDisarm_Log_9000000004_20180826152102.txt, 0, 5768.0, 9000000004
2018.08.26.15.21.11, STOP_FILE_DOWNLOAD, c14237ceebf8bb8cf7a5b3e3b59b4967, MapDisarm_Log_9000000004_20180826152102.txt, 5768, 5768.0, 9000000004
2018.08.26.15.21.16, REMOVING LOGMapDisarm_Log_9000000004_20180826152042.txt
2018.08.26.15.21.16, KEEPING LOGMapDisarm_Log_9000000004_20180826152102.txt
2018.08.26.15.21.16, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.21, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.26, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.26, SUMMARY_VECTOR_RECEIVED, 53551
2018.08.26.15.21.31, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.31, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.21.31, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000004_20180826152122.txt 9.999999999999998E13
2018.08.26.15.21.31, START_FILE_DOWNLOAD, 435a7f698a84b3c7a8b8dfaafe7269, MapDisarm_Log_9000000004_20180826152122.txt, 0, 5866.0, 9000000004
2018.08.26.15.21.31, STOP_FILE_DOWNLOAD, 435a7f698a84b3c7a8b8dfaafe7269, MapDisarm_Log_9000000004_20180826152122.txt, 5866, 5866.0, 9000000004
2018.08.26.15.21.36, KEEPING LOGMapDisarm_Log_9000000004_20180826152122.txt
